ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC1162	NCBI	NA	GCA_016081555.2	Cronobacter sakazakii	FDA863765-098-002	PDT000277209.2	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1163	NCBI	NA	GCA_016081575.2	Cronobacter sakazakii	FDA863765-097-002	PDT000277210.2	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1164	NCBI	NA	GCA_016081615.1	Cronobacter sakazakii	CFSAN019580	PDT000277195.1	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1165	NCBI	NA	GCA_016081635.2	Cronobacter sakazakii	FDA863765-088-002	PDT000277194.2	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1166	NCBI	NA	GCA_016081675.2	Cronobacter sakazakii	FDA863765-066-002	PDT000277192.2	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1167	NCBI	NA	GCA_016081775.1	Cronobacter sakazakii	CFSAN019571	PDT000277211.1	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1168	NCBI	NA	GCA_016085895.1	Cronobacter sakazakii	CFSAN019573	PDT000148452.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1169	NCBI	NA	GCA_016085945.1	Cronobacter sakazakii	CFSAN019578	PDT000148453.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1170	NCBI	NA	GCA_016086065.1	Cronobacter sakazakii	CFSAN019572	PDT000148455.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1171	NCBI	NA	GCA_016086295.1	Cronobacter sakazakii	CFSAN019577	PDT000148471.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1172	NCBI	NA	GCA_016086775.1	Cronobacter sakazakii	CFSAN019582	PDT000148488.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1173	NCBI	NA	GCA_016086795.1	Cronobacter sakazakii	CFSAN019576	PDT000148473.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1174	NCBI	NA	GCA_016086815.1	Cronobacter sakazakii	CFSAN019579	PDT000148483.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1175	NCBI	NA	GCA_016086915.1	Cronobacter sakazakii	CFSAN019574	PDT000148472.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1176	NCBI	NA	GCA_016087055.1	Cronobacter sakazakii	CFSAN019575	PDT000148444.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1177	NCBI	NA	GCA_016087125.1	Cronobacter sakazakii	CFSAN019581	PDT000148491.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1178	NCBI	NA	GCA_016087175.1	Cronobacter sakazakii	CFSAN022320	PDT000148490.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1179	NCBI	NA	GCA_016576445.1	Cronobacter sakazakii	CFSAN080745	PDT000533625.1	Canada	North America	NA	infant formula	1982	Food and Food Ingredients
ND_NC1180	NCBI	NA	GCA_016576485.1	Cronobacter sakazakii	CFSAN080728	PDT000533606.1	Canada	North America	NA	environment	1982	Environmental Samples
ND_NC1181	NCBI	NA	GCA_016576535.1	Cronobacter sakazakii	CFSAN080737	PDT000533632.1	Canada	North America	NA	missing	1982	Unknown and Unclassified Sources
ND_NC1182	NCBI	NA	GCA_016576885.1	Cronobacter sakazakii	MOD1_CDCA3	PDT000337059.1	Canada	North America	NA	Not Provided	Unknown	Unknown and Unclassified Sources
ND_NC1183	NCBI	NA	GCA_016576925.1	Cronobacter sakazakii	MOD1_LR616	PDT000337056.1	USA	North America	NA	Not Provided	Unknown	Unknown and Unclassified Sources
ND_NC1184	NCBI	NA	GCA_016577305.1	Cronobacter sakazakii	CFSAN022319	PDT000148489.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1185	NCBI	NA	GCA_016577505.1	Cronobacter sakazakii	CFSAN019570	PDT000148487.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1186	NCBI	NA	GCA_016577545.1	Cronobacter sakazakii	CFSAN019567	PDT000148480.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1187	NCBI	NA	GCA_016577565.1	Cronobacter sakazakii	CFSAN019566	PDT000148478.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1188	NCBI	NA	GCA_016577585.1	Cronobacter sakazakii	CFSAN019559	PDT000148476.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1189	NCBI	NA	GCA_016577605.1	Cronobacter sakazakii	CFSAN019561	PDT000148477.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1190	NCBI	NA	GCA_016577625.1	Cronobacter sakazakii	CFSAN022316	PDT000148475.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1191	NCBI	NA	GCA_016577645.1	Cronobacter sakazakii	CFSAN022317	PDT000148469.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1192	NCBI	NA	GCA_016577665.1	Cronobacter sakazakii	CFSAN022315	PDT000148461.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1193	NCBI	NA	GCA_016577685.1	Cronobacter sakazakii	CFSAN019568	PDT000148462.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1194	NCBI	NA	GCA_016577705.1	Cronobacter sakazakii	CFSAN022313	PDT000148460.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1195	NCBI	NA	GCA_016577725.1	Cronobacter sakazakii	CFSAN022311	PDT000148448.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1196	NCBI	NA	GCA_016577745.1	Cronobacter sakazakii	CFSAN019565	PDT000148454.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1197	NCBI	NA	GCA_016577805.1	Cronobacter sakazakii	CFSAN022312	PDT000148457.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1198	NCBI	NA	GCA_016577825.1	Cronobacter sakazakii	CFSAN022314	PDT000148443.4	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1199	NCBI	NA	GCA_018091985.2	Cronobacter sakazakii	FDA863765-053-002	PDT000277604.2	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1200	NCBI	NA	GCA_018092025.2	Cronobacter sakazakii	FDA863765-057-002	PDT000277577.2	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1201	NCBI	NA	GCA_018092045.2	Cronobacter sakazakii	FDA863765-061-002	PDT000277502.2	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1202	NCBI	NA	GCA_019143095.1	Cronobacter sakazakii	FDA1147130-C001-003a	PDT001082830.1	USA	North America	NA	goat milk formula	2021	Food and Food Ingredients
ND_NC1203	NCBI	NA	GCA_021834335.1	Cronobacter sakazakii	3838-1	PDT001235861.1	USA	North America	NA	raw pet food	2021	Food and Food Ingredients
ND_NC1204	NCBI	NA	GCA_022358415.1	Cronobacter sakazakii	FDA1033053-S014-006	PDT001252486.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1205	NCBI	NA	GCA_022358515.1	Cronobacter sakazakii	FDA1033053-S021-001	PDT001252490.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1206	NCBI	NA	GCA_022359575.1	Cronobacter sakazakii	FDA1033055-S055-002	PDT001252492.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1207	NCBI	NA	GCA_022362135.1	Cronobacter sakazakii	FDA1033053-S014-001	PDT001252487.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1208	NCBI	NA	GCA_022362795.1	Cronobacter sakazakii	CFSAN120295	PDT001253145.1	USA	North America	NA	infant formula	2021	Food and Food Ingredients
ND_NC1209	NCBI	NA	GCA_022373915.1	Cronobacter sakazakii	FDA1033053-S021-002	PDT001252583.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1210	NCBI	NA	GCA_022375055.1	Cronobacter sakazakii	FDA1033053-S025-001	PDT001252475.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1211	NCBI	NA	GCA_022387635.1	Cronobacter sakazakii	FDA1182172-S002-001	PDT001253873.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1212	NCBI	NA	GCA_022387825.1	Cronobacter sakazakii	FDA1033053-S014-007	PDT001253871.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1213	NCBI	NA	GCA_022387845.1	Cronobacter sakazakii	FDA1182172-S003-001	PDT001253869.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1214	NCBI	NA	GCA_022387865.1	Cronobacter sakazakii	FDA1182172-S001-001	PDT001253870.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1215	NCBI	NA	GCA_022388265.1	Cronobacter sakazakii	FDA1033053-S014-004	PDT001253878.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1216	NCBI	NA	GCA_022605365.1	Cronobacter sakazakii	2021EL-1052a	PDT001268187.1	USA	North America	NA	Open Formula	2021	Food and Food Ingredients
ND_NC1217	NCBI	NA	GCA_022607325.1	Cronobacter sakazakii	wls2256	ASM2260732v1	Unknown	Unknown	NA	cheese	Unknown	Food and Food Ingredients
ND_NC1218	NCBI	NA	GCA_022607385.1	Cronobacter sakazakii	wls2242	ASM2260738v1	Unknown	Unknown	NA	cookies	Unknown	Food and Food Ingredients
ND_NC1219	NCBI	NA	GCA_022607425.1	Cronobacter sakazakii	wls2236	ASM2260742v1	Unknown	Unknown	NA	cookies	Unknown	Food and Food Ingredients
ND_NC1220	NCBI	NA	GCA_022607465.1	Cronobacter sakazakii	wls2227	ASM2260746v1	Unknown	Unknown	NA	missing	Unknown	Unknown and Unclassified Sources
ND_NC1221	NCBI	NA	GCA_022607505.1	Cronobacter sakazakii	wls2215	ASM2260750v1	Unknown	Unknown	NA	tea	Unknown	Food and Food Ingredients
ND_NC1222	NCBI	NA	GCA_022607515.1	Cronobacter sakazakii	wls2214	ASM2260751v1	Unknown	Unknown	NA	milk powder	Unknown	Food and Food Ingredients
ND_NC1223	NCBI	NA	GCA_022607545.1	Cronobacter sakazakii	wls2219	ASM2260754v1	Belgium	Europe	NA	chocolate	Unknown	Food and Food Ingredients
ND_NC1224	NCBI	NA	GCA_022607585.1	Cronobacter sakazakii	wls2212	ASM2260758v1	India	Asia	NA	milk powder	Unknown	Food and Food Ingredients
ND_NC1225	NCBI	NA	GCA_022607605.1	Cronobacter sakazakii	wls2210	ASM2260760v1	Netherlands	Europe	NA	whey powder	Unknown	Food and Food Ingredients
ND_NC1226	NCBI	NA	GCA_022607615.1	Cronobacter sakazakii	wls2213	ASM2260761v1	Unknown	Unknown	NA	missing	Unknown	Unknown and Unclassified Sources
ND_NC1227	NCBI	NA	GCA_022607745.1	Cronobacter sakazakii	wls2197	ASM2260774v1	Unknown	Unknown	NA	missing	Unknown	Unknown and Unclassified Sources
ND_NC1228	NCBI	NA	GCA_022607925.1	Cronobacter sakazakii	wls2148	ASM2260792v1	USA	North America	NA	missing	Unknown	Unknown and Unclassified Sources
ND_NC1229	NCBI	NA	GCA_022618395.1	Cronobacter sakazakii	FDA1140503-S022-001	PDT001269740.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1230	NCBI	NA	GCA_022618415.1	Cronobacter sakazakii	FDA1140503-S022-002	PDT001269737.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1231	NCBI	NA	GCA_022622715.1	Cronobacter sakazakii	2021EL-1053a	PDT001268190.1	USA	North America	NA	Open Formula	2021	Food and Food Ingredients
ND_NC1232	NCBI	NA	GCA_022622735.1	Cronobacter sakazakii	2021N-4011	PDT001268186.1	USA	North America	NA	missing	2021	Unknown and Unclassified Sources
ND_NC1233	NCBI	NA	GCA_022622755.1	Cronobacter sakazakii	2021EL-1004a	PDT001268189.1	USA	North America	NA	Breast Pump	2022	Clinical and Medical Samples
ND_NC1234	NCBI	NA	GCA_022622775.1	Cronobacter sakazakii	2021EL-1051a	PDT001268188.1	USA	North America	NA	Bottled Water	2021	Food and Food Ingredients
ND_NC1235	NCBI	NA	GCA_022622795.1	Cronobacter sakazakii	2022N-4005	PDT001268185.1	USA	North America	NA	missing	2022	Unknown and Unclassified Sources
ND_NC1236	NCBI	NA	GCA_022622815.1	Cronobacter sakazakii	2022N-4007	PDT001268184.1	USA	North America	NA	missing	2021	Unknown and Unclassified Sources
ND_NC1237	NCBI	NA	GCA_022631655.1	Cronobacter sakazakii	FDA1140505-S039-001	PDT001271761.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1238	NCBI	NA	GCA_022631675.1	Cronobacter sakazakii	FDA1140505-S042-001	PDT001271766.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1239	NCBI	NA	GCA_022631995.1	Cronobacter sakazakii	FDA1140505-S042-002	PDT001271756.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1240	NCBI	NA	GCA_022632075.1	Cronobacter sakazakii	FDA1140505-S042-003	PDT001271754.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1241	NCBI	NA	GCA_022632215.1	Cronobacter sakazakii	FDA1140505-S042-006	PDT001271747.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1242	NCBI	NA	GCA_022669925.1	Cronobacter sakazakii	FDA1140503-S028-001	PDT001272037.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1243	NCBI	NA	GCA_022675915.1	Cronobacter sakazakii	2022N-4010	PDT001273749.1	USA	North America	NA	missing	Unknown	Unknown and Unclassified Sources
ND_NC1244	NCBI	NA	GCA_022676515.1	Cronobacter sakazakii	Bacteria	PDT001273752.1	USA	North America	NA	food	2007	Food and Food Ingredients
ND_NC1245	NCBI	NA	GCA_022676535.1	Cronobacter sakazakii	Bacteria	PDT001273751.1	USA	North America	NA	food	2009	Food and Food Ingredients
ND_NC1246	NCBI	NA	GCA_022677145.1	Cronobacter sakazakii	Bacteria	PDT001273744.1	USA	North America	NA	environmental	2007	Environmental Samples
ND_NC1247	NCBI	NA	GCA_022677165.1	Cronobacter sakazakii	2021N-4010	PDT001273748.1	USA	North America	NA	missing	Unknown	Unknown and Unclassified Sources
ND_NC1248	NCBI	NA	GCA_022677665.1	Cronobacter sakazakii	Bacteria	PDT001273898.1	USA	North America	NA	food	2007	Food and Food Ingredients
ND_NC1249	NCBI	NA	GCA_022679005.1	Cronobacter sakazakii	CFSAN121329	PDT001274345.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1250	NCBI	NA	GCA_022679025.1	Cronobacter sakazakii	CFSAN121339	PDT001274344.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1251	NCBI	NA	GCA_022679045.1	Cronobacter sakazakii	CFSAN121347	PDT001274343.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1252	NCBI	NA	GCA_022679065.1	Cronobacter sakazakii	CFSAN121334	PDT001274346.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1253	NCBI	NA	GCA_022679085.1	Cronobacter sakazakii	CFSAN121338	PDT001274340.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1254	NCBI	NA	GCA_022679105.1	Cronobacter sakazakii	CFSAN121344	PDT001274337.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1255	NCBI	NA	GCA_022679125.1	Cronobacter sakazakii	CFSAN121340	PDT001274336.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1256	NCBI	NA	GCA_022679145.1	Cronobacter sakazakii	CFSAN121330	PDT001274342.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1257	NCBI	NA	GCA_022679165.1	Cronobacter sakazakii	CFSAN121333	PDT001274334.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1258	NCBI	NA	GCA_022679185.1	Cronobacter sakazakii	CFSAN121336	PDT001274335.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1259	NCBI	NA	GCA_022679205.1	Cronobacter sakazakii	CFSAN121332	PDT001274330.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1260	NCBI	NA	GCA_022679225.1	Cronobacter sakazakii	CFSAN121346	PDT001274332.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1261	NCBI	NA	GCA_022679245.1	Cronobacter sakazakii	CFSAN121342	PDT001274331.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1262	NCBI	NA	GCA_022679265.1	Cronobacter sakazakii	CFSAN121343	PDT001274329.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1263	NCBI	NA	GCA_022679285.1	Cronobacter sakazakii	CFSAN121345	PDT001274327.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1264	NCBI	NA	GCA_022679585.1	Cronobacter sakazakii	CFSAN121328	PDT001274338.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1265	NCBI	NA	GCA_022679645.1	Cronobacter sakazakii	CFSAN121337	PDT001274339.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1266	NCBI	NA	GCA_022679665.1	Cronobacter sakazakii	CFSAN121341	PDT001274341.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1267	NCBI	NA	GCA_022679685.1	Cronobacter sakazakii	CFSAN121331	PDT001274333.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1268	NCBI	NA	GCA_022679705.1	Cronobacter sakazakii	CFSAN121335	PDT001274328.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1269	NCBI	NA	GCA_022679945.1	Cronobacter sakazakii	FDA1184729-S001-001	PDT001274298.1	USA	North America	NA	infant formula consumer container rinse	2022	Environmental Samples
ND_NC1270	NCBI	NA	GCA_022880615.1	Cronobacter sakazakii	FDA1186619-S001-001	PDT001280652.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1271	NCBI	NA	GCA_022880645.1	Cronobacter sakazakii	FDA1186618-S003-001	PDT001280651.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1272	NCBI	NA	GCA_022880715.1	Cronobacter sakazakii	FDA1186619-S002-001	PDT001280650.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1273	NCBI	NA	GCA_022880735.1	Cronobacter sakazakii	FDA1186618-S004-001	PDT001280648.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1274	NCBI	NA	GCA_022880755.1	Cronobacter sakazakii	FDA1186618-S006-001	PDT001280649.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1275	NCBI	NA	GCA_022880835.1	Cronobacter sakazakii	FDA1186618-S005-001	PDT001280647.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1276	NCBI	NA	GCA_022880875.1	Cronobacter sakazakii	FDA1186618-S001-001	PDT001280646.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1277	NCBI	NA	GCA_022880895.1	Cronobacter sakazakii	FDA1186620-S001-001	PDT001280645.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1278	NCBI	NA	GCA_022917495.1	Cronobacter sakazakii	FDA1185607-S001-001	PDT001278397.1	USA	North America	NA	consumer liquid infant formula	2022	Food and Food Ingredients
ND_NC1279	NCBI	NA	GCA_022956895.1	Cronobacter sakazakii	FDA1140511-S022-002	PDT001275799.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1280	NCBI	NA	GCA_022956955.1	Cronobacter sakazakii	FDA1140511-S037-002	PDT001275800.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1281	NCBI	NA	GCA_022956995.1	Cronobacter sakazakii	FDA1140511-S022-001	PDT001275795.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
ND_NC1282	NCBI	NA	GCA_022997145.1	Cronobacter sakazakii	FDA1186908-S004-001	PDT001287448.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1283	NCBI	NA	GCA_022997185.1	Cronobacter sakazakii	FDA1186908-S003-001	PDT001287443.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1284	NCBI	NA	GCA_022997965.1	Cronobacter sakazakii	FDA1186908-S001-001	PDT001287447.1	USA	North America	NA	infant formula	2022	Food and Food Ingredients
ND_NC1285	NCBI	NA	GCA_023010325.1	Cronobacter sakazakii	646578A	PDT001287871.1	USA	North America	NA	Infant formula	2022	Food and Food Ingredients
ND_NC1286	NCBI	NA	GCA_023101995.1	Cronobacter sakazakii	WVDA_M07713_I2201097_1_2	PDT001292916.1	USA	North America	NA	powdered infant formula	2022	Food and Food Ingredients
ND_NC1287	NCBI	NA	GCA_023102015.1	Cronobacter sakazakii	WVDA_M07713_I2201097_1_RF	PDT001292912.1	USA	North America	NA	powdered infant formula	2022	Food and Food Ingredients
ND_NC1288	NCBI	NA	GCA_023102035.1	Cronobacter sakazakii	WVDA_M07713_I2201097_3	PDT001292913.1	USA	North America	NA	powdered infant formula	2022	Food and Food Ingredients
ND_NC1289	NCBI	NA	GCA_023102055.1	Cronobacter sakazakii	WVDA_M07713_I2201304_2_4	PDT001292909.1	USA	North America	NA	powdered infant formula	2022	Food and Food Ingredients
ND_NC1290	NCBI	NA	GCA_023102075.1	Cronobacter sakazakii	WVDA_M07713_CS_CONTROL	PDT001292915.1	USA	North America	NA	control culture	2022	Clinical and Medical Samples
ND_NC1291	NCBI	NA	GCA_023102095.1	Cronobacter sakazakii	WVDA_M07713_I2201309_2_3	PDT001292908.1	USA	North America	NA	powdered infant formula	2022	Food and Food Ingredients
ND_NC1292	NCBI	NA	GCA_023185135.1	Cronobacter sakazakii	WVDA_M07713_I2201097_2	PDT001292917.1	USA	North America	NA	powdered infant formula	2022	Food and Food Ingredients
ND_NC1293	NCBI	NA	GCA_023185255.1	Cronobacter sakazakii	WVDA_M07713_I2201097_1	PDT001292914.1	USA	North America	NA	powdered infant formula	2022	Food and Food Ingredients
ND_NC1294	NCBI	NA	GCA_023185275.1	Cronobacter sakazakii	WVDA_M07713_I2201097_3_2	PDT001292911.1	USA	North America	NA	powdered infant formula	2022	Food and Food Ingredients
ND_NC1295	NCBI	NA	GCA_023231675.1	Cronobacter sakazakii	K5-VR1-2	PDT001298448.1	USA	North America	NA	Cat Food	2021	Food and Food Ingredients
ND_NC1296	NCBI	NA	GCA_023239085.1	Cronobacter sakazakii	K5-TG1-3	PDT001298450.1	USA	North America	NA	Cat Food	2021	Food and Food Ingredients
ND_NC1297	NCBI	NA	GCA_023239105.1	Cronobacter sakazakii	K5-TG1-1	PDT001298449.1	USA	North America	NA	Cat Food	2021	Food and Food Ingredients
ND_NC1298	NCBI	NA	GCA_023239145.1	Cronobacter sakazakii	K5-TG1-2	PDT001298451.1	USA	North America	NA	Cat Food	2021	Food and Food Ingredients
ND_NC1299	NCBI	NA	GCA_023239165.1	Cronobacter sakazakii	K5-VR1-1	PDT001298447.1	USA	North America	NA	Cat Food	2021	Food and Food Ingredients
ND_NC1300	NCBI	NA	GCA_023288705.1	Cronobacter sakazakii	FDA1024696-278-004	PDT000266893.3	USA	North America	NA	environmental swab	2017	Environmental Samples
ND_NC1301	NCBI	NA	GCA_023687285.1	Cronobacter sakazakii	FDA1169897-S006-001	PDT001323147.1	USA	North America	NA	environmental swab	2022	Environmental Samples
ND_NC1302	NCBI	NA	GCA_023744875.1	Cronobacter sakazakii	FDA1169897-S006-003	PDT001329374.1	USA	North America	NA	environmental swab sponge infant formula manufacturing facility	2022	Environmental Samples
ND_NC1303	NCBI	NA	GCA_023901335.1	Cronobacter sakazakii	2022N-4019	PDT001341736.1	USA	North America	NA	missing	Unknown	Unknown and Unclassified Sources
ND_NC1304	NCBI	NA	GCA_023903055.1	Cronobacter sakazakii	CFSAN019563	PDT000148465.6	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1305	NCBI	NA	GCA_023903875.1	Cronobacter sakazakii	CFSAN019562	PDT000148464.6	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1306	NCBI	NA	GCA_023915545.1	Cronobacter sakazakii	FDA857333 84	PDT000148435.5	USA	North America	NA	environmental	2014	Environmental Samples
ND_NC1307	NCBI	NA	GCA_023915665.1	Cronobacter sakazakii	FDA1192164-S095-001	PDT001347228.1	USA	North America	NA	environmental swab sponge from dairy facility	2022	Environmental Samples
ND_NC1308	NCBI	NA	GCA_023927265.1	Cronobacter sakazakii	FDA846689 32	PDT000148441.5	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1309	NCBI	NA	GCA_023934385.1	Cronobacter sakazakii	FDA846689 55	PDT000148438.5	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1310	NCBI	NA	GCA_024132175.1	Cronobacter sakazakii	CFSAN019560	PDT000148470.6	USA	North America	NA	environmental swab	2014	Environmental Samples
ND_NC1311	NCBI	NA	GCA_024145485.1	Cronobacter sakazakii	2022N-4006	PDT001352742.1	USA	North America	NA	missing	2022	Unknown and Unclassified Sources
ND_NC1312	NCBI	NA	GCA_024148685.1	Cronobacter sakazakii	2021EL-1052c	PDT001352748.1	USA	North America	NA	Open Formula	2021	Food and Food Ingredients
ND_NC1313	NCBI	NA	GCA_024176085.1	Cronobacter sakazakii	FDA864509 10	PDT000148440.5	USA	North America	NA	environmental swab taken from whey drying equipment.	2014	Environmental Samples
ND_NC1314	NCBI	NA	GCA_024176145.1	Cronobacter sakazakii	FDA857333 82	PDT000148439.5	USA	North America	NA	environmental	2014	Environmental Samples
ND_NC1315	NCBI	NA	GCA_024226855.1	Cronobacter sakazakii	CFSAN125200	PDT001357767.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1316	NCBI	NA	GCA_024226875.1	Cronobacter sakazakii	CFSAN125199	PDT001357771.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1317	NCBI	NA	GCA_024226895.1	Cronobacter sakazakii	CFSAN125192	PDT001357765.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1318	NCBI	NA	GCA_024227535.1	Cronobacter sakazakii	CFSAN125195	PDT001357772.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1319	NCBI	NA	GCA_024228755.1	Cronobacter sakazakii	CFSAN125193	PDT001357774.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1320	NCBI	NA	GCA_024228835.1	Cronobacter sakazakii	CFSAN125191	PDT001357769.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1321	NCBI	NA	GCA_024228895.1	Cronobacter sakazakii	CFSAN125194	PDT001357770.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1322	NCBI	NA	GCA_024228905.1	Cronobacter sakazakii	CFSAN125196	PDT001357766.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1323	NCBI	NA	GCA_024228995.1	Cronobacter sakazakii	CFSAN125198	PDT001357764.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1324	NCBI	NA	GCA_024256945.1	Cronobacter sakazakii	CFSAN125197	PDT001357768.1	USA	North America	NA	environmental sponge	2022	Environmental Samples
ND_NC1325	NCBI	NA	GCA_024602975.1	Cronobacter sakazakii	CFSAN125526	PDT001379054.1	USA	North America	NA	environmental swab sponge	2022	Environmental Samples
